;Concepto;2020pr;2020pr;2020pr;2020pr;2021pr;2021pr
;Concepto;I;II;III;IV;I;II
47;Captación, tratamiento y distribución de agua;862;799;793;866;875;893
48;"Evacuación y tratamiento de aguas residuales; recolección, tratamiento y disposición de desechos y actividades de saneamiento ambiental y otros servicios de gestión de desechos";1.648;1.493;1.512;1.627;1.697;1.667
49;Recuperación de materiales (reciclaje);381;279;353;363;423;475
50;Construcción de edificaciones residenciales y no residenciales;6.600;5.436;5.912;6.414;6.707;6.749
51;Construcción de edificaciones residenciales y no residenciales;6.600;5.436;5.912;6.414;6.707;6.749
52;Construcción de carreteras y vías de ferrocarril, de proyectos de servicio público y de otras obras de ingeniería civil;5.002;2.465;3.589;3.681;4.603;3.202
53;Construcción de carreteras y vías de ferrocarril, de proyectos de servicio público y de otras obras de ingeniería civil;5.002;2.465;3.589;3.681;4.603;3.202
54;Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores);3.485;2.637;3.132;3.294;3.396;3.322
55;Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores);3.485;2.637;3.132;3.294;3.396;3.322
56;"Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas";25.759;19.876;24.063;26.541;27.884;25.280
57;"Comercio al por mayor y en comisión o por contrata; comercio al por menor (incluso el comercio al por menor de combustibles); comercio de vehículos automotores y motocicletas, sus partes, piezas y accesorios";24.177;18.851;22.090;24.646;26.416;24.053
58;Mantenimiento y reparación de vehículos automotores y motocicletas;1.862;1.043;1.631;1.937;1.831;1.368
59;Transporte y almacenamiento;12.726;7.884;9.371;10.658;11.355;10.949
60;Transporte terrestre y transporte por tuberías;8.611;5.777;6.803;7.570;7.937;7.462
61;Transporte acuático;91;70;75;80;90;71
62;Transporte aéreo;1.272;323;291;552;669;710
63;Almacenamiento y actividades complementarias al transporte;2.469;1.508;1.786;2.080;2.297;2.354
64;Actividades de correo y de servicios de mensajería;296;279;345;360;344;345
65;Alojamiento y servicios de comida;9.332;3.420;5.226;8.358;8.811;9.355
66;Alojamiento y servicios de comida;9.332;3.420;5.226;8.358;8.811;9.355
67;Información y comunicaciones;7.566;6.824;7.145;7.348;7.773;7.625
68;Información y comunicaciones;7.566;6.824;7.145;7.348;7.773;7.625
69;Actividades financieras y de seguros;11.863;11.829;12.443;12.733;12.817;12.827
70;Actividades financieras y de seguros;11.863;11.829;12.443;12.733;12.817;12.827
71;Actividades inmobiliarias;23.872;23.952;24.183;24.375;24.619;24.806
72;Actividades inmobiliarias;23.872;23.952;24.183;24.375;24.619;24.806
73;"Actividades profesionales, científicas y técnicas; Actividades de servicios administrativos y de apoyo";18.632;16.185;17.399;18.358;19.261;19.153
74;Actividades profesionales, científicas y técnicas;8.337;7.658;8.045;8.314;8.640;8.835
75;Actividades de servicios administrativos y de apoyo;10.249;8.585;9.333;10.052;10.503;10.398
76;"Administración pública y defensa; planes de seguridad social de afiliación obligatoria";16.594;16.970;17.223;17.346;17.380;17.853
77;"Administración pública y defensa; planes de seguridad social de afiliación obligatoria";16.594;16.970;17.223;17.346;17.380;17.853
78;Educación;13.567;13.584;13.505;13.492;13.462;13.500
79;Educación de mercado;6.626;6.467;5.982;5.993;6.197;6.339
80;Educación de no mercado;6.935;7.305;7.461;7.379;7.364;7.372
81;Actividades de atención de la salud humana y de servicios sociales;10.958;9.301;10.722;11.514;12.010;12.319
82;Actividades de atención de la salud humana y de servicios sociales;10.958;9.301;10.722;11.514;12.010;12.319
83;Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;5.335;3.561;5.029;5.271;6.243;7.039
84;Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;5.335;3.561;5.029;5.271;6.243;7.039
85;"Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio";1.660;989;1.153;1.468;1.528;1.438
86;Actividades de los hogares individuales en calidad de empleadores;1.660;989;1.153;1.468;1.528;1.438
87;Valor agregado bruto;242.288;201.646;226.624;242.913;253.975;253.821
88;Impuestos menos subvenciones sobre los productos;25.932;19.142;20.140;24.236;25.775;26.689
89;Producto interno bruto;267.399;221.320;246.742;267.462;278.568;280.918
