Concepto;2020pr;2020pr;2020pr;2020pr;2021pr;2021pr
Concepto;I;II;III;IV;I;II
"Fabricación de productos metalúrgicos básicos; fabricación de productos elaborados de metal, excepto maquinaria y equipo; fabricación de aparatos y equipo eléctrico; fabricación de productos informáticos, electrónicos y ópticos; fabricación de maquinaria y equipo n.c.p.; fabricación de vehículos automotores, remolques y semirremolques; fabricación de otros tipos de equipo de transporte; instalación, mantenimiento y reparación especializado de maquinaria y equipo";2,6;-12,7;-6,1;0,2;21,1;43,2
"Fabricación de productos metalúrgicos básicos; fabricación de productos elaborados de metal, excepto maquinaria y equipo";7,9;0,7;8,0;14,1;31,8;51,5
"Fabricación de aparatos y equipo eléctrico; fabricación de productos informáticos, electrónicos y ópticos";-0,4;-16,4;-8,0;-0,8;37,2;53,8
"Fabricación de maquinaria y equipo n.c.p.; instalación, mantenimiento y reparación especializado de maquinaria y equipo";4,1;-18,6;-15,1;-10,5;5,8;24,5
"Fabricación de vehículos automotores, remolques y semirremolques; fabricación de otros tipos de equipo de transporte";-10,6;-37,4;-31,8;-24,4;-6,8;26,9
"Fabricación de muebles, colchones y somieres; otras industrias manufactureras";-1,3;-18,6;-14,1;-8,4;18,5;38,4
 Fabricación de muebles, colchones y somieres;-1,2;-28,6;-21,5;-13,8;14,8;44,6
Otras industrias manufactureras;-1,3;-12,2;-9,4;-4,9;20,9;35,2
Suministro de electricidad, gas, vapor y aire acondicionado;8,6;2,6;1,7;1,3;-2,7;5,5
"Generación de energía eléctrica; transmisión de energía eléctrica y distribución y comercialización de energía eléctrica";9,1;3,4;2,7;2,4;-3,1;5,7
"Producción de gas; distribución de combustibles gaseosos por tuberías; suministro de vapor y aire acondicionado";6,2;-0,9;-2,9;-3,4;-0,5;4,3
"Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental";9,2;1,8;-0,4;-0,2;3,9;10,7
Captación, tratamiento y distribución de agua;9,6;4,4;1,7;1,8;3,0;7,1
"Evacuación y tratamiento de aguas residuales; recolección, tratamiento y disposición de desechos y actividades de saneamiento ambiental y otros servicios de gestión de desechos";11,9;5,7;2,2;1,8;3,0;7,1
Recuperación de materiales (reciclaje);-3,3;-18,3;-14,8;-12,1;10,8;38,5
Construcción de edificaciones residenciales y no residenciales;-13,1;-21,3;-21,4;-20,5;2,1;12,1
Construcción de edificaciones residenciales y no residenciales;-13,1;-21,3;-21,4;-20,5;2,1;12,1
Construcción de carreteras y vías de ferrocarril, de proyectos de servicio público y de otras obras de ingeniería civil;-7,2;-27,1;-26,0;-25,1;-10,1;4,9
Construcción de carreteras y vías de ferrocarril, de proyectos de servicio público y de otras obras de ingeniería civil;-7,2;-27,1;-26,0;-25,1;-10,1;4,9
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores);-12,1;-22,5;-22,3;-21,4;-1,6;9,4
Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores);-12,1;-22,5;-22,3;-21,4;-1,6;9,4
"Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas";11,9;-2,2;-2,5;-0,3;8,4;16,5
"Comercio al por mayor y en comisión o por contrata; comercio al por menor (incluso el comercio al por menor de combustibles); comercio de vehículos automotores y motocicletas, sus partes, piezas y accesorios";12,8;-0,5;-1,0;0,9;9,2;17,0
Mantenimiento y reparación de vehículos automotores y motocicletas;2,5;-21,4;-19,0;-14,1;-2,6;9,4
Transporte y almacenamiento;1,0;-19,1;-22,4;-21,1;-11,1;8,0
Transporte terrestre y transporte por tuberías;-0,1;-17,8;-19,5;-17,9;-8,3;7,2
Transporte acuático;15,4;-0,8;-5,9;-4,9;-1,0;-0,2
Transporte aéreo;0,3;-38,0;-52,5;-54,0;-46,9;-12,7
Almacenamiento y actividades complementarias al transporte;4,9;-16,5;-20,2;-18,9;-6,5;17,6
Actividades de correo y de servicios de mensajería;3,1;-1,7;3,3;6,2;16,9;20,6
Alojamiento y servicios de comida;-4,9;-36,1;-40,5;-34,5;-5,4;43,1
Alojamiento y servicios de comida;-4,9;-36,1;-40,5;-34,5;-5,4;43,1
Información y comunicaciones;4,3;-1,5;-1,8;-2,0;2,6;7,0
Información y comunicaciones;4,3;-1,5;-1,8;-2,0;2,6;7,0
Actividades financieras y de seguros;5,1;3,2;3,3;4,0;8,0;8,2
Actividades financieras y de seguros;5,1;3,2;3,3;4,0;8,0;8,2
Actividades inmobiliarias;5,4;4,7;4,4;4,1;3,1;3,4
Actividades inmobiliarias;5,4;4,7;4,4;4,1;3,1;3,4
"Actividades profesionales, científicas y técnicas; Actividades de servicios administrativos y de apoyo";5,7;-2,4;-3,2;-2,6;3,3;10,7
Actividades profesionales, científicas y técnicas;4,8;-1,8;-2,5;-2,2;3,5;9,4
Actividades de servicios administrativos y de apoyo;6,4;-3,0;-3,8;-2,9;3,2;11,7
"Administración pública y defensa; planes de seguridad social de afiliación obligatoria";4,7;4,2;4,3;5,0;2,2;3,6
"Administración pública y defensa; planes de seguridad social de afiliación obligatoria";4,7;4,2;4,3;5,0;2,2;3,6
Educación;8,0;6,9;5,1;3,6;-0,9;-0,6
Educación de mercado;7,6;5,7;2,0;-0,6;-6,4;-4,1
Educación de no mercado;8,5;8,2;8,3;7,6;5,6;3,2
Actividades de atención de la salud humana y de servicios sociales;5,4;-3,1;-2,2;-0,3;9,8;20,5
Actividades de atención de la salud humana y de servicios sociales;5,4;-3,1;-2,2;-0,3;9,8;20,5
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;11,1;-9,7;-7,6;-6,4;16,8;49,1
Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;11,1;-9,7;-7,6;-6,4;16,8;49,1
"Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio";2,4;-18,5;-22,2;-19,6;-8,0;12,0
Actividades de los hogares individuales en calidad de empleadores;2,4;-18,5;-22,2;-19,6;-8,0;12,0
Valor agregado bruto;4,3;-5,9;-6,2;-4,9;4,6;14,6
Impuestos menos subvenciones sobre los productos;7,1;-6,9;-11,8;-10,8;-0,7;14,2
Producto interno bruto;4,6;-6,0;-6,7;-5,5;4,0;14,5
