;Concepto;2020pr;2020pr;2020pr;2020pr;2021pr;2021pr
;Concepto;I;II;III;IV;I;II
41; Fabricación de muebles, colchones y somieres;-1,2;-28,6;-21,5;-13,8;14,8;44,6
42;Otras industrias manufactureras;-1,3;-12,2;-9,4;-4,9;20,9;35,2
43;Suministro de electricidad, gas, vapor y aire acondicionado;8,6;2,6;1,7;1,3;-2,7;5,5
44;"Generación de energía eléctrica; transmisión de energía eléctrica y distribución y comercialización de energía eléctrica";9,1;3,4;2,7;2,4;-3,1;5,7
45;"Producción de gas; distribución de combustibles gaseosos por tuberías; suministro de vapor y aire acondicionado";6,2;-0,9;-2,9;-3,4;-0,5;4,3
46;"Distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental";9,2;1,8;-0,4;-0,2;3,9;10,7
47;Captación, tratamiento y distribución de agua;9,6;4,4;1,7;1,8;3,0;7,1
48;"Evacuación y tratamiento de aguas residuales; recolección, tratamiento y disposición de desechos y actividades de saneamiento ambiental y otros servicios de gestión de desechos";11,9;5,7;2,2;1,8;3,0;7,1
49;Recuperación de materiales (reciclaje);-3,3;-18,3;-14,8;-12,1;10,8;38,5
50;Construcción de edificaciones residenciales y no residenciales;-13,1;-21,3;-21,4;-20,5;2,1;12,1
51;Construcción de edificaciones residenciales y no residenciales;-13,1;-21,3;-21,4;-20,5;2,1;12,1
52;Construcción de carreteras y vías de ferrocarril, de proyectos de servicio público y de otras obras de ingeniería civil;-7,2;-27,1;-26,0;-25,1;-10,1;4,9
53;Construcción de carreteras y vías de ferrocarril, de proyectos de servicio público y de otras obras de ingeniería civil;-7,2;-27,1;-26,0;-25,1;-10,1;4,9
54;Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores);-12,1;-22,5;-22,3;-21,4;-1,6;9,4
55;Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaría y equipo de construcción con operadores);-12,1;-22,5;-22,3;-21,4;-1,6;9,4
56;"Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas";11,9;-2,2;-2,5;-0,3;8,4;16,5
57;"Comercio al por mayor y en comisión o por contrata; comercio al por menor (incluso el comercio al por menor de combustibles); comercio de vehículos automotores y motocicletas, sus partes, piezas y accesorios";12,8;-0,5;-1,0;0,9;9,2;17,0
58;Mantenimiento y reparación de vehículos automotores y motocicletas;2,5;-21,4;-19,0;-14,1;-2,6;9,4
59;Transporte y almacenamiento;1,0;-19,1;-22,4;-21,1;-11,1;8,0
60;Transporte terrestre y transporte por tuberías;-0,1;-17,8;-19,5;-17,9;-8,3;7,2
61;Transporte acuático;15,4;-0,8;-5,9;-4,9;-1,0;-0,2
62;Transporte aéreo;0,3;-38,0;-52,5;-54,0;-46,9;-12,7
63;Almacenamiento y actividades complementarias al transporte;4,9;-16,5;-20,2;-18,9;-6,5;17,6
64;Actividades de correo y de servicios de mensajería;3,1;-1,7;3,3;6,2;16,9;20,6
65;Alojamiento y servicios de comida;-4,9;-36,1;-40,5;-34,5;-5,4;43,1
66;Alojamiento y servicios de comida;-4,9;-36,1;-40,5;-34,5;-5,4;43,1
67;Información y comunicaciones;4,3;-1,5;-1,8;-2,0;2,6;7,0
68;Información y comunicaciones;4,3;-1,5;-1,8;-2,0;2,6;7,0
69;Actividades financieras y de seguros;5,1;3,2;3,3;4,0;8,0;8,2
70;Actividades financieras y de seguros;5,1;3,2;3,3;4,0;8,0;8,2
71;Actividades inmobiliarias;5,4;4,7;4,4;4,1;3,1;3,4
72;Actividades inmobiliarias;5,4;4,7;4,4;4,1;3,1;3,4
73;"Actividades profesionales, científicas y técnicas; Actividades de servicios administrativos y de apoyo";5,7;-2,4;-3,2;-2,6;3,3;10,7
74;Actividades profesionales, científicas y técnicas;4,8;-1,8;-2,5;-2,2;3,5;9,4
75;Actividades de servicios administrativos y de apoyo;6,4;-3,0;-3,8;-2,9;3,2;11,7
76;"Administración pública y defensa; planes de seguridad social de afiliación obligatoria";4,7;4,2;4,3;5,0;2,2;3,6
77;"Administración pública y defensa; planes de seguridad social de afiliación obligatoria";4,7;4,2;4,3;5,0;2,2;3,6
78;Educación;8,0;6,9;5,1;3,6;-0,9;-0,6
79;Educación de mercado;7,6;5,7;2,0;-0,6;-6,4;-4,1
80;Educación de no mercado;8,5;8,2;8,3;7,6;5,6;3,2
81;Actividades de atención de la salud humana y de servicios sociales;5,4;-3,1;-2,2;-0,3;9,8;20,5
82;Actividades de atención de la salud humana y de servicios sociales;5,4;-3,1;-2,2;-0,3;9,8;20,5
83;Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;11,1;-9,7;-7,6;-6,4;16,8;49,1
84;Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios;11,1;-9,7;-7,6;-6,4;16,8;49,1
85;"Actividades de los hogares individuales en calidad de empleadores; actividades no diferenciadas de los hogares individuales como productores de bienes y servicios para uso propio";2,4;-18,5;-22,2;-19,6;-8,0;12,0
86;Actividades de los hogares individuales en calidad de empleadores;2,4;-18,5;-22,2;-19,6;-8,0;12,0
87;Valor agregado bruto;4,3;-5,9;-6,2;-4,9;4,6;14,6
88;Impuestos menos subvenciones sobre los productos;7,1;-6,9;-11,8;-10,8;-0,7;14,2
89;Producto interno bruto;4,6;-6,0;-6,7;-5,5;4,0;14,5
